item_identifier,item_weight,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_age_category,item_fat_content_0,item_fat_content_1,item_fat_content_2,outlet_size_0,outlet_size_1,outlet_size_2,outlet_location_type_0,outlet_location_type_1,outlet_location_type_2,new_item_type_0,new_item_type_1,new_item_type_2,outlet_type_0,outlet_type_1,outlet_type_2,outlet_type_3,outlet_0,outlet_1,outlet_2,outlet_3,outlet_4,outlet_5,outlet_6,outlet_7,outlet_8,outlet_9,outlet_age_0,outlet_age_1,outlet_age_2,item_outlet_sales
FDA15,9.3,0.126677942,Dairy,249.8092,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,61.11577538
DRC01,5.92,0.138846015,Soft Drinks,48.2692,OUT018,2009,New outlet,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21.0576067
FDN15,17.5,0.129460708,Meat,141.618,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,45.79596052
FDX07,19.2,0.257161484,Fruits and Vegetables,182.095,OUT010,1998,Moderate outlet,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.06252021
NCD19,8.93,0.257161484,Household,53.8614,OUT013,1987,old outlet,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31.53894735
FDP36,10.395,0.257161484,Baking Goods,51.4008,OUT018,2009,New outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23.59255815
FDO10,13.65,0.112876432,Snack Foods,57.6588,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18.53517737
FDP10,12.85764518,0.35702921,Snack Foods,107.7622,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,63.42525995
FDH17,16.2,0.129178613,Frozen Foods,96.9726,OUT045,2002,Moderate outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32.81156199
FDU28,19.2,0.30732652,Frozen Foods,187.8214,OUT017,2007,New outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,68.63333738
